"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Ronald Ventura","UNTITLED (BEAR)",32030,10.3744282426032,11530,"2015","0",1200,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Ahmad Zakii Anwar","UNTITLED II",6410,8.76561454991472,2570,"2004","0",13400,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Zaw Aung","MONK AND HELPER",2401,7.78364059622125,641,"2003","0",9694,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Wae Aung Min","WOMEN AND CHILDREN",9610,9.17055950196434,3840,"1995","0",12800,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Gywe U Lun","SEASHORE",13610,9.51856009564551,8970,"1995","0",8078.5,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Ngwe Gaing","GREAT SHWEDAGON PAGODA",41630,10.636576340189,15370,"1962","0",3111,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"U San Win","SHWEDAGON PAGODA",16010,9.68096880599076,7690,NA,"0",1560,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"U San Win","GATEWAY TO MANDALAY",28820,10.2688248695535,8970,"1963","0",1290,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Ngwe Gaing","MAUNG MAGAN BEACH, SOUTH OF MYANMAR, DAWEI",17610,9.77622220149025,6410,NA,"0",2806,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Zaw Min","ENTRANCE OF MYATHEINTAN",2882,7.96623977655947,1281,"2001","0",11224,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Moat Thone","BUDDHA AND BODHI TREE 1",5120,8.54090971803355,1281,"2005","0",27270,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Vu Cao Dam","JEUNE FILLE À LA ROBE BLEU (GIRL IN THE BLUE DRESS)",15210,9.62970838525334,3840,NA,"0",1107,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,0,0,0,0,1,0,1
"Vu Cao Dam","DIVINITY",14410,9.57567768899357,2570,"1979","0",792,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Vu Cao Dam","LE RETOUR (THE RETURN)",72060,11.1852543843021,12810,"1964","0",6798.75,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","IN THE GARDEN",67250,11.1161722974641,16660,NA,"0",6011.75,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Le Pho","FEMMES DANS UN JARDIN (WOMEN IN A GARDEN)",60850,11.0161670984157,25620,NA,"0",10485,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
