,sales_price,estimate_range,auction_location,surface,auction_year,auction_month,auction_weekday
282,288230,128100.0,0,41400.0,2019,4,Monday
283,208160,38430.0,0,57600.0,2019,4,Monday
284,208160,38430.0,0,46750.0,2019,4,Monday
285,2562,2567.0,0,10307.5,2019,4,Thursday
286,1601,2570.0,0,12545.0,2019,4,Thursday
287,3522,2560.0,0,35694.0,2019,4,Thursday
288,1281,1281.0,0,16974.0,2019,4,Thursday
289,12010,5120.0,0,60000.0,2019,4,Thursday
290,1361,1281.0,0,16000.0,2019,4,Thursday
291,5120,641.0,0,625.0,2019,4,Thursday
292,5120,2570.0,0,15714.0,2019,4,Thursday
293,775650,384300.0,0,12658.73,2019,10,Saturday
294,1559620,384300.0,0,2760.0,2019,10,Saturday
295,120090,38430.0,0,798.6,2019,10,Saturday
296,320250,89670.0,0,2149.14,2019,10,Saturday
297,240190,102480.0,0,1299.24,2019,10,Saturday
298,288230,153720.0,0,3637.26,2019,10,Saturday
299,4019140,1281000.0,0,4343.5,2019,10,Saturday
300,13396190,3202500.0,0,21060.0,2019,10,Saturday
301,3096820,2049600.0,0,5520.0,2019,10,Saturday
302,336260,179340.0,0,16644.0,2019,10,Saturday
303,2174500,1281000.0,0,7366.65,2019,10,Saturday
304,606550,256200.0,0,866.2,2019,10,Saturday
305,6392700,1281000.0,0,3670.24,2019,10,Saturday
306,3557980,384300.0,0,6050.0,2019,10,Saturday
307,913990,576450.0,0,991.2,2019,10,Saturday
308,5590220,1537200.0,0,5547.6,2019,10,Saturday
309,821760,256200.0,0,75660.0,2019,10,Saturday
310,160130,64050.0,0,3471.5,2019,10,Saturday
311,637300,256200.0,0,16230.75,2019,10,Saturday
312,304240,192150.0,0,13124.0,2019,10,Saturday
313,144110,102480.0,0,20864.0,2019,10,Saturday
314,1282920,217770.0,0,7200.0,2019,10,Saturday
315,1405900,256200.0,0,9945.0,2019,10,Saturday
316,621930,256200.0,0,12050.0,2019,10,Saturday
317,352280,128100.0,0,10980.0,2019,10,Saturday
318,575810,128100.0,0,19500.0,2019,10,Saturday
319,208160,89670.0,0,8000.0,2019,10,Saturday
320,256200,76860.0,0,10535.0,2019,10,Saturday
321,416330,128100.0,0,34000.0,2019,10,Saturday
322,272210,140910.0,0,29250.0,2019,10,Saturday
323,668040,128100.0,0,23256.25,2019,10,Saturday
324,224180,128100.0,0,43750.0,2019,10,Saturday
325,352280,51240.0,0,582.06,2019,10,Sunday
326,512400,192150.0,0,7267.5,2019,10,Sunday
327,224180,128100.0,0,601.12,2019,10,Sunday
328,44840,21780.0,0,494.0,2019,10,Sunday
329,64050,51240.0,0,2430.0,2019,10,Sunday
330,160130,128100.0,0,5769.55,2019,10,Sunday
331,72060,51240.0,0,17109.45,2019,10,Sunday
332,120090,38430.0,0,8534.4,2019,10,Sunday
333,35230,12810.0,0,4854.0,2019,10,Sunday
334,152120,102480.0,0,18557.5,2019,10,Sunday
335,19220,10250.0,0,3000.0,2019,10,Sunday
336,48040,12810.0,0,4427.43,2019,10,Sunday
337,30420,12810.0,0,4453.0,2019,10,Sunday
338,51240,21780.0,0,4404.4,2019,10,Sunday
339,136110,89670.0,0,25882.5,2019,10,Sunday
340,24020,10250.0,0,936.0,2019,10,Sunday
341,88070,64050.0,0,3247.94,2019,10,Sunday
342,92870,64050.0,0,6716.0,2019,10,Sunday
343,88070,64050.0,0,6688.4,2019,10,Sunday
344,112090,102480.0,0,4380.0,2019,10,Sunday
345,144110,115290.0,0,3237.0,2019,10,Sunday
346,240190,128100.0,0,2775.5,2019,10,Sunday
347,224180,179340.0,0,18895.6,2019,10,Sunday
348,320250,256200.0,0,6716.0,2019,10,Sunday
349,416330,256200.0,0,4256.0,2019,10,Sunday
350,7690,3080.0,0,1200.0,2019,10,Sunday
351,12010,5130.0,0,3000.0,2019,10,Sunday
352,51240,12810.0,0,8000.0,2019,10,Sunday
353,32030,12810.0,0,8000.0,2019,10,Sunday
354,5600,3336.0,0,10800.0,2019,10,Sunday
355,11210,3847.0,0,1500.0,2019,10,Sunday
356,22420,10250.0,0,6400.0,2019,10,Sunday
357,32030,19210.0,0,11224.0,2019,10,Sunday
358,24020,19210.0,0,10649.38,2019,10,Sunday
359,35230,25620.0,0,15000.0,2019,10,Sunday
360,56040,25620.0,0,12480.0,2019,10,Sunday
361,16010,5130.0,0,12954.0,2019,10,Sunday
362,16010,7680.0,0,1794.5,2019,10,Sunday
363,1281,513.0,0,2432.5,2019,10,Sunday
364,44840,12810.0,0,9750.0,2019,10,Sunday
365,96080,25620.0,0,39600.75,2019,10,Sunday
366,32030,12810.0,0,14310.0,2019,10,Sunday
367,88070,25620.0,0,22500.0,2019,10,Sunday
368,51240,7690.0,0,21060.0,2019,10,Sunday
369,272210,25620.0,0,12885.25,2019,10,Sunday
370,560440,256200.0,0,18075.0,2019,10,Sunday
371,1329040,256200.0,0,19500.0,2019,10,Sunday
372,6684510,1281000.0,0,63457.0,2019,10,Sunday
373,480380,128100.0,0,60000.0,2019,10,Sunday
374,240190,25620.0,0,45000.0,2019,10,Sunday
375,208160,76860.0,0,30000.0,2019,10,Sunday
376,15210,3840.0,0,35720.5,2019,10,Sunday
377,944740,256200.0,0,44888.0,2019,10,Sunday
378,760270,256200.0,0,41457.75,2019,10,Sunday
379,4172860,1281000.0,0,50000.0,2019,10,Sunday
380,714160,102480.0,0,52100.0,2019,10,Sunday
381,8810,2558.0,0,46886.0,2019,10,Sunday
382,30420,12810.0,0,13500.0,2019,10,Sunday
383,176140,25620.0,0,25122.25,2019,10,Sunday
384,1436640,256200.0,0,2400.0,2019,10,Sunday
